year,Rating 1,Rating 2,Rating 3,Rating 4,Rating 5
1996,,,,,1
1997,6,8,7,42,222
1998,48,37,54,221,1016
1999,113,78,140,375,1578
2000,327,294,490,1290,4077
2001,305,301,505,1392,4090
2002,434,398,631,1606,4237
2003,588,477,745,1910,4531
2004,1228,652,1180,2743,7266
2005,2576,1298,2049,4344,11054
2006,1785,1336,2153,4577,12251
2007,1326,1228,2037,4407,12050
2008,1114,1053,1673,3616,9024
2009,1003,984,1571,3201,8336
2010,859,723,1304,2771,7351
2011,934,810,1355,2805,7353
2012,1116,952,1872,4081,11435
2013,1588,1802,4162,10555,32716
2014,973,1074,2407,6133,18715